Date,Close,Volume,Open,High,Low
2024-10-16,221.33,49632820,221.4,222.8199,218.93
2024-10-15,219.57,62988790,220.01,224.26,217.12
2024-10-14,219.16,86291920,220.13,221.91,213.74
2024-10-11,217.8,142628900,220.13,223.34,214.38
2024-10-10,238.77,83087060,241.81,242.7899,232.34
2024-10-09,241.05,66289530,243.82,247.43,239.51
2024-10-08,244.5,56303160,243.56,246.21,240.56
2024-10-07,240.83,68113270,249.0,249.83,240.7
2024-10-04,250.08,86726290,246.69,250.96,244.58
2024-10-03,240.66,80729240,244.48,249.79,237.81
2024-10-02,249.02,93983930,247.55,251.1585,241.5
2024-10-01,258.02,87397610,262.67,263.98,248.53
2024-09-30,261.63,80873380,259.04,264.86,255.77
2024-09-27,260.46,70988070,257.375,260.6999,254.12
2024-09-26,254.22,67142190,260.6,261.75,251.53
2024-09-25,257.02,65034320,252.54,257.05,252.28
2024-09-24,254.27,88491000,254.08,257.19,249.0501
2024-09-23,250.0,86927190,242.61,250.0,241.92
2024-09-20,238.25,99879070,241.52,243.99,235.92
2024-09-19,243.92,102694600,234.0,244.24,232.13
2024-09-18,227.2,78010200,230.09,235.68,226.88
2024-09-17,227.87,66761640,229.45,234.57,226.5533
2024-09-16,226.78,54323000,229.3,229.96,223.53
2024-09-13,230.29,59515110,228.0,232.67,226.32
2024-09-12,229.81,72020040,224.66,231.45,223.83
2024-09-11,228.13,83548630,224.55,228.47,216.8003
2024-09-10,226.17,78891140,220.07,226.4,218.6377
2024-09-09,216.27,67443520,216.2,219.87,213.67
2024-09-06,210.73,112177000,232.6,233.6,210.51
2024-09-05,230.17,119355000,223.49,235.0,222.25
2024-09-04,219.41,80651770,210.59,222.22,210.57
2024-09-03,210.6,76714220,215.26,219.9043,209.64
2024-08-30,214.11,63370610,208.63,214.5701,207.03
2024-08-29,206.28,62308820,209.8,214.89,205.97
2024-08-28,205.75,64116350,209.72,211.84,202.59
2024-08-27,209.21,62821390,213.25,215.66,206.94
2024-08-26,213.21,59301190,218.75,219.09,211.01
2024-08-23,220.32,81525210,214.455,221.48,214.21
2024-08-22,210.66,79514480,223.82,224.8,210.32
2024-08-21,223.27,70145960,222.67,224.6594,218.86
2024-08-20,221.1,74001180,224.88,228.22,219.56
2024-08-19,222.72,76435220,217.07,222.98,214.09
2024-08-16,216.12,88765120,211.15,219.8,210.8
2024-08-15,214.14,89848530,205.02,215.88,204.82
2024-08-14,201.38,70250010,207.39,208.44,198.75
2024-08-13,207.83,76247390,198.47,208.49,197.06
2024-08-12,197.49,64044900,199.02,199.26,194.67
2024-08-09,200.0,58648270,197.05,200.88,195.11
2024-08-08,198.84,65033870,195.7,200.7,192.04
2024-08-07,191.76,71159780,200.77,203.49,191.48
2024-08-06,200.64,73783940,200.75,202.9,192.67
2024-08-05,198.88,100308800,185.22,203.8799,182.0
2024-08-02,207.67,82880120,214.88,216.13,205.78
2024-08-01,216.86,83861900,227.69,231.867,214.3328
2024-07-31,232.07,67497010,227.9,234.68,226.7875
2024-07-30,222.62,100560300,232.25,232.41,220.0
2024-07-29,232.1,129201800,224.9,234.27,224.7
2024-07-26,219.8,94604150,221.19,222.2799,215.33
2024-07-25,220.25,100636500,216.8,226.0,216.231
2024-07-24,215.99,167942900,225.42,225.99,214.71
2024-07-23,246.38,111928200,253.6,255.7594,245.63
2024-07-22,251.51,101225400,244.21,253.21,243.75
2024-07-19,239.2,87403900,247.79,249.44,236.83
2024-07-18,249.23,110869000,251.09,257.14,247.2
2024-07-17,248.5,115584800,252.73,258.47,246.182
2024-07-16,256.56,126332500,255.31,258.62,245.8001
2024-07-15,252.64,146912900,255.97,265.6,251.73
2024-07-12,248.23,155955800,235.8,251.84,233.0912
2024-07-11,241.03,221707300,263.3,271.0,239.65
2024-07-10,263.26,128519400,262.8,267.59,257.86
2024-07-09,262.33,160742500,251.0,265.61,250.3
2024-07-08,252.94,157219600,247.71,259.439,244.57
2024-07-05,251.52,154501200,249.81,252.37,242.4601
2024-07-03,246.39,166561500,234.56,248.35,234.25
2024-07-02,231.26,205047900,218.89,231.3,218.06
